land_area_acres,number_of_landowners,number_of_land_parcels,affected_villages,affected_households,private_land_pct,approval_pending,notification_pending,compensation_pending,compensation_amount_lakh,budget_release_delay_days,dispute_count,court_case,objection_count,survey_completed,ownership_verification_pending,pending_documents,missing_documents,stage_index,days_in_current_stage,previous_stage_delay_days,total_processing_days,staff_workload_ratio,seasonal_factor,district_historical_delay_rate,historical_average_delay_days,similar_case_average_delay_days,project_type_code,priority_code,project_category_code
46.17,40.0,29.0,6.0,25.0,59.3,0.0,0.0,1.0,77.13,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,3.0,59.0,6.0,143.0,0.37,0.91,0.706,88.3,29.2,0.0,0.0,0.0
60.85,18.0,12.0,9.0,6.0,76.1,1.0,1.0,1.0,184.23,4.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,6.0,26.0,6.0,134.0,0.61,1.09,0.337,48.6,65.2,0.0,1.0,0.0
12.06,19.0,13.0,12.0,12.0,30.4,0.0,0.0,0.0,52.59,6.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,9.0,21.0,99.0,0.81,1.09,0.545,73.7,41.7,2.0,0.0,0.0
46.76,27.0,20.0,6.0,13.0,79.1,0.0,0.0,0.0,146.48,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,40.0,36.0,165.0,0.59,1.14,0.292,38.2,15.1,1.0,0.0,0.0
25.34,28.0,21.0,11.0,14.0,68.1,1.0,0.0,0.0,55.8,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,45.0,15.0,156.0,0.28,1.03,0.108,23.2,19.7,3.0,1.0,1.0
171.73,26.0,9.0,12.0,17.0,47.3,0.0,0.0,0.0,426.5,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,93.0,19.0,164.0,0.45,1.12,0.201,43.6,6.6,2.0,1.0,0.0
130.61,34.0,16.0,12.0,20.0,46.5,0.0,0.0,0.0,264.44,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,14.0,157.0,0.34,1.01,0.476,65.6,21.4,0.0,0.0,0.0
82.45,30.0,12.0,8.0,25.0,41.1,0.0,0.0,1.0,290.31,6.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,18.0,5.0,135.0,0.48,1.03,0.577,73.5,52.8,4.0,0.0,1.0
86.04,27.0,18.0,12.0,12.0,57.8,0.0,0.0,0.0,86.68,2.0,0.0,0.0,4.0,1.0,1.0,3.0,2.0,2.0,17.0,7.0,121.0,0.82,0.91,0.455,59.3,38.5,3.0,0.0,1.0
44.98,28.0,14.0,2.0,15.0,87.7,1.0,0.0,0.0,63.14,4.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,5.0,18.0,11.0,103.0,0.79,0.94,0.41,66.3,52.1,3.0,2.0,1.0
67.47,36.0,23.0,4.0,26.0,59.6,0.0,0.0,1.0,252.07,4.0,2.0,0.0,2.0,1.0,0.0,4.0,1.0,7.0,42.0,24.0,138.0,0.47,0.98,0.454,65.7,22.9,3.0,1.0,1.0
84.51,27.0,19.0,1.0,19.0,74.6,0.0,0.0,0.0,290.22,6.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,25.0,44.0,298.0,0.66,1.05,0.876,99.7,61.3,0.0,1.0,0.0
87.79,27.0,13.0,10.0,22.0,51.2,0.0,0.0,1.0,212.14,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,32.0,7.0,200.0,0.78,1.03,0.415,62.7,43.6,0.0,0.0,0.0
102.56,22.0,13.0,11.0,12.0,83.5,0.0,0.0,0.0,392.56,5.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,35.0,19.0,151.0,0.76,0.97,0.218,37.8,12.3,3.0,0.0,1.0
26.47,28.0,12.0,9.0,16.0,69.2,1.0,0.0,0.0,105.2,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,56.0,9.0,135.0,0.59,1.12,0.644,85.7,39.2,2.0,1.0,0.0
33.78,28.0,15.0,2.0,16.0,60.3,1.0,0.0,0.0,70.97,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,14.0,13.0,166.0,0.93,0.92,0.703,93.5,33.9,1.0,1.0,0.0
35.68,25.0,12.0,4.0,12.0,55.9,1.0,0.0,0.0,58.6,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,46.0,2.0,216.0,0.69,1.15,0.639,89.7,26.3,4.0,0.0,1.0
81.96,33.0,20.0,4.0,19.0,88.4,0.0,0.0,0.0,387.92,2.0,3.0,0.0,3.0,1.0,0.0,3.0,2.0,5.0,35.0,53.0,179.0,0.52,1.15,0.375,52.6,39.4,0.0,0.0,0.0
129.93,25.0,10.0,11.0,11.0,79.8,1.0,1.0,1.0,170.23,4.0,3.0,1.0,3.0,0.0,1.0,3.0,1.0,7.0,13.0,25.0,90.0,0.66,1.0,0.388,62.7,47.5,2.0,0.0,0.0
95.44,32.0,14.0,4.0,20.0,85.6,0.0,1.0,0.0,355.71,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,20.0,185.0,0.54,1.02,0.421,73.1,36.8,4.0,0.0,1.0
46.17,29.0,19.0,7.0,17.0,71.3,0.0,0.0,1.0,38.62,4.0,3.0,0.0,3.0,1.0,0.0,2.0,2.0,6.0,51.0,6.0,157.0,0.63,0.97,0.461,67.9,16.9,0.0,0.0,0.0
84.13,30.0,19.0,2.0,26.0,79.8,0.0,0.0,1.0,301.71,2.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,6.0,27.0,9.0,137.0,0.54,0.9,0.376,52.5,41.3,1.0,0.0,0.0
73.52,27.0,14.0,4.0,20.0,99.1,0.0,1.0,0.0,186.63,5.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,57.0,7.0,135.0,0.72,1.03,0.339,49.5,31.1,4.0,0.0,1.0
89.14,22.0,11.0,10.0,19.0,37.0,0.0,0.0,0.0,250.6,5.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,21.0,1.0,107.0,0.56,1.17,0.372,62.7,27.0,0.0,0.0,0.0
83.36,22.0,12.0,1.0,15.0,53.2,0.0,0.0,1.0,152.75,4.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,6.0,45.0,7.0,143.0,0.93,1.16,0.561,74.6,25.9,0.0,1.0,0.0
116.42,26.0,18.0,10.0,20.0,75.2,1.0,0.0,1.0,456.86,8.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,12.0,15.0,186.0,0.4,1.1,0.298,50.5,20.3,2.0,0.0,0.0
86.44,30.0,19.0,1.0,20.0,68.7,1.0,0.0,0.0,150.85,7.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,4.0,7.0,56.0,0.5,1.07,0.408,67.1,28.3,3.0,0.0,1.0
35.82,33.0,18.0,8.0,20.0,77.0,0.0,0.0,1.0,91.15,6.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,40.0,21.0,132.0,0.95,0.94,0.385,53.8,43.7,2.0,0.0,0.0
28.34,28.0,20.0,8.0,17.0,35.8,1.0,0.0,0.0,141.09,4.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,4.0,26.0,3.0,96.0,0.87,1.01,0.31,53.6,35.7,4.0,0.0,1.0
37.5,22.0,11.0,8.0,23.0,82.3,0.0,0.0,1.0,171.71,3.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,6.0,53.0,10.0,200.0,0.79,0.99,0.319,57.4,30.7,1.0,2.0,0.0
26.8,31.0,23.0,6.0,16.0,63.5,0.0,1.0,1.0,110.78,4.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,20.0,7.0,124.0,0.53,0.97,0.508,60.0,68.7,0.0,1.0,0.0
49.46,40.0,21.0,1.0,16.0,74.4,0.0,0.0,0.0,254.1,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,22.0,29.0,152.0,0.62,1.15,0.262,43.2,13.5,2.0,0.0,0.0
110.09,22.0,11.0,1.0,17.0,72.2,0.0,0.0,1.0,208.51,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,6.0,41.0,7.0,216.0,0.88,0.93,0.814,95.5,96.7,4.0,0.0,1.0
74.75,36.0,15.0,6.0,22.0,51.2,0.0,0.0,1.0,122.79,7.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,7.0,22.0,167.0,0.86,1.09,0.456,62.6,26.1,0.0,2.0,0.0
51.13,25.0,18.0,2.0,17.0,72.3,1.0,0.0,0.0,200.09,4.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,11.0,27.0,123.0,0.29,1.04,0.751,96.4,40.9,2.0,0.0,0.0
130.76,29.0,16.0,1.0,20.0,30.1,1.0,0.0,1.0,235.91,11.0,3.0,0.0,4.0,1.0,0.0,2.0,2.0,4.0,147.0,21.0,271.0,0.56,1.09,0.646,80.8,35.4,2.0,2.0,0.0
28.16,29.0,13.0,2.0,27.0,62.0,0.0,0.0,0.0,63.9,3.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,2.0,21.0,8.0,128.0,0.55,1.05,0.469,73.6,38.4,4.0,0.0,1.0
30.03,30.0,11.0,11.0,19.0,88.9,0.0,0.0,0.0,88.42,2.0,4.0,0.0,2.0,0.0,1.0,4.0,1.0,3.0,28.0,6.0,96.0,0.51,1.09,0.385,53.9,26.4,1.0,0.0,0.0
53.71,25.0,10.0,9.0,18.0,82.6,1.0,0.0,0.0,273.27,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,10.0,2.0,56.0,0.26,0.89,0.641,76.6,37.4,4.0,0.0,1.0
86.97,29.0,18.0,3.0,27.0,67.9,0.0,0.0,0.0,178.12,4.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,4.0,33.0,9.0,93.0,0.5,1.15,0.728,82.0,39.6,0.0,0.0,0.0
76.3,28.0,14.0,1.0,15.0,64.8,0.0,0.0,0.0,231.98,1.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,15.0,21.0,181.0,0.77,1.08,0.401,58.9,35.1,1.0,1.0,0.0
57.17,47.0,19.0,1.0,30.0,40.0,0.0,0.0,0.0,209.68,3.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,6.0,4.0,7.0,86.0,0.75,1.18,0.303,48.6,17.5,4.0,1.0,1.0
91.23,25.0,9.0,12.0,22.0,40.1,0.0,0.0,0.0,321.04,4.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,31.0,16.0,160.0,0.49,1.08,0.483,66.6,20.9,0.0,0.0,0.0
42.58,23.0,17.0,11.0,15.0,66.2,1.0,1.0,1.0,200.75,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,191.0,0.81,0.94,0.346,51.9,43.6,0.0,2.0,0.0
146.29,29.0,17.0,5.0,19.0,81.5,0.0,0.0,1.0,268.92,6.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,6.0,47.0,2.0,185.0,0.51,0.93,0.343,47.2,86.6,1.0,2.0,0.0
143.08,27.0,15.0,7.0,16.0,65.9,0.0,0.0,0.0,233.34,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,58.0,3.0,134.0,0.38,0.91,0.272,47.4,40.2,4.0,0.0,1.0
136.49,36.0,13.0,10.0,27.0,69.4,0.0,1.0,0.0,295.69,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,17.0,10.0,173.0,0.63,1.07,0.504,68.2,43.0,1.0,1.0,0.0
105.36,30.0,19.0,7.0,19.0,96.2,0.0,0.0,0.0,149.95,7.0,4.0,0.0,5.0,1.0,1.0,2.0,1.0,1.0,29.0,8.0,113.0,0.56,0.96,0.235,35.9,15.9,0.0,1.0,0.0
139.71,32.0,15.0,8.0,19.0,66.8,1.0,0.0,1.0,566.03,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,65.0,5.0,134.0,0.66,0.91,0.874,114.2,29.7,0.0,1.0,0.0
17.92,30.0,16.0,3.0,25.0,58.7,1.0,0.0,1.0,56.25,7.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,12.0,52.0,143.0,0.77,0.94,0.365,52.5,51.8,4.0,0.0,1.0
29.85,30.0,11.0,5.0,18.0,82.4,0.0,0.0,1.0,35.29,6.0,1.0,0.0,6.0,1.0,0.0,2.0,1.0,5.0,22.0,9.0,155.0,0.46,1.16,0.398,73.1,36.0,1.0,0.0,0.0
136.95,27.0,19.0,2.0,15.0,54.3,0.0,0.0,0.0,439.79,4.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,7.0,98.0,25.0,250.0,0.36,1.16,0.346,42.5,83.9,0.0,0.0,0.0
84.22,33.0,19.0,2.0,21.0,52.5,0.0,0.0,0.0,202.55,5.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,74.0,2.0,232.0,0.52,0.99,0.345,53.1,30.6,1.0,0.0,0.0
460.62,23.0,11.0,11.0,15.0,61.4,1.0,0.0,1.0,871.14,5.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,9.0,5.0,151.0,0.39,1.13,0.486,67.3,27.1,3.0,2.0,1.0
91.81,29.0,22.0,1.0,21.0,79.2,0.0,0.0,0.0,493.42,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,16.0,142.0,0.48,0.98,0.743,103.1,29.1,2.0,2.0,0.0
138.86,34.0,25.0,3.0,20.0,41.6,1.0,0.0,0.0,122.08,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,18.0,1.0,157.0,0.45,1.17,0.191,45.0,12.1,3.0,1.0,1.0
33.93,26.0,19.0,9.0,13.0,78.4,1.0,1.0,0.0,112.17,3.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,6.0,9.0,17.0,77.0,0.48,0.96,0.527,70.5,31.0,4.0,1.0,1.0
37.95,23.0,14.0,9.0,18.0,62.1,1.0,0.0,0.0,95.78,3.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,18.0,18.0,104.0,0.76,1.05,0.144,26.4,111.9,0.0,1.0,0.0
152.01,23.0,12.0,5.0,15.0,74.2,0.0,0.0,0.0,240.8,6.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,26.0,21.0,121.0,0.94,0.94,0.291,50.9,62.4,0.0,1.0,0.0
38.12,34.0,17.0,8.0,19.0,97.0,1.0,0.0,0.0,148.28,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,25.0,41.0,181.0,0.53,0.95,0.477,72.3,38.4,4.0,1.0,1.0
71.61,23.0,12.0,5.0,11.0,68.1,0.0,0.0,1.0,338.67,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,17.0,170.0,0.69,1.13,0.312,53.3,37.0,4.0,0.0,1.0
76.13,26.0,11.0,11.0,18.0,83.3,0.0,0.0,0.0,109.67,1.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,94.0,2.0,202.0,0.8,1.04,0.603,89.1,37.6,0.0,1.0,0.0
44.09,28.0,18.0,3.0,15.0,98.6,1.0,0.0,0.0,164.77,6.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,18.0,2.0,117.0,0.83,1.08,0.482,66.5,73.2,1.0,0.0,0.0
12.82,29.0,21.0,1.0,22.0,85.8,0.0,0.0,0.0,54.4,3.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,31.0,8.0,170.0,0.59,1.06,0.631,82.2,26.7,4.0,0.0,1.0
75.43,38.0,29.0,8.0,23.0,59.9,1.0,1.0,0.0,199.16,3.0,5.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,17.0,11.0,102.0,0.8,0.96,0.304,43.8,16.0,4.0,2.0,1.0
47.97,23.0,15.0,11.0,17.0,41.0,1.0,0.0,0.0,71.93,8.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,16.0,16.0,172.0,0.57,0.96,0.57,83.6,39.2,3.0,0.0,1.0
30.97,32.0,23.0,7.0,21.0,98.7,0.0,0.0,0.0,143.26,4.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,17.0,5.0,106.0,0.84,0.93,0.521,63.1,36.6,2.0,0.0,0.0
67.18,27.0,11.0,11.0,22.0,77.1,0.0,0.0,0.0,154.95,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,19.0,9.0,177.0,0.4,1.02,0.562,66.9,19.8,3.0,1.0,1.0
42.26,23.0,12.0,7.0,10.0,56.1,1.0,0.0,1.0,118.45,5.0,1.0,0.0,4.0,1.0,0.0,2.0,1.0,6.0,12.0,14.0,133.0,0.71,0.91,0.397,60.8,44.3,2.0,0.0,0.0
28.83,34.0,16.0,7.0,25.0,45.6,0.0,0.0,0.0,81.31,2.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,7.0,34.0,23.0,193.0,0.56,0.95,0.143,62.7,39.1,1.0,0.0,0.0
44.8,34.0,16.0,7.0,17.0,59.4,0.0,1.0,0.0,62.42,4.0,2.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,150.0,7.0,255.0,0.77,0.93,0.67,81.4,27.3,4.0,1.0,1.0
77.18,31.0,22.0,7.0,14.0,58.6,0.0,0.0,0.0,263.84,4.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,6.0,38.0,11.0,189.0,0.6,1.09,0.067,27.3,40.4,0.0,1.0,0.0
148.54,23.0,9.0,10.0,15.0,81.1,0.0,0.0,0.0,299.37,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,39.0,2.0,150.0,0.93,1.01,0.602,62.7,35.1,0.0,1.0,0.0
59.54,25.0,17.0,3.0,18.0,86.9,0.0,0.0,1.0,241.86,8.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,30.0,4.0,92.0,0.73,1.06,0.171,50.9,18.0,4.0,1.0,1.0
105.99,39.0,30.0,10.0,24.0,40.4,0.0,0.0,0.0,364.78,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,43.0,26.0,152.0,0.85,1.08,0.229,62.7,52.1,1.0,0.0,0.0
155.58,22.0,11.0,2.0,17.0,38.1,1.0,0.0,0.0,194.15,4.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,51.0,3.0,140.0,0.92,1.05,0.687,75.1,31.7,0.0,0.0,0.0
211.22,24.0,16.0,5.0,13.0,46.5,0.0,0.0,1.0,978.47,1.0,6.0,0.0,4.0,1.0,0.0,1.0,0.0,6.0,6.0,12.0,72.0,0.77,1.02,0.332,59.5,27.6,0.0,1.0,0.0
162.36,29.0,19.0,6.0,13.0,47.8,1.0,0.0,0.0,579.13,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,33.0,14.0,91.0,0.81,1.1,0.399,61.6,41.2,0.0,1.0,0.0
27.6,27.0,18.0,9.0,17.0,32.1,0.0,0.0,1.0,48.08,1.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,6.0,50.0,10.0,230.0,0.74,1.15,0.518,72.0,51.8,0.0,0.0,0.0
124.58,30.0,21.0,8.0,24.0,36.7,0.0,0.0,1.0,494.04,5.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,30.0,4.0,128.0,0.78,1.15,0.415,48.8,26.3,0.0,0.0,0.0
38.7,31.0,19.0,4.0,28.0,66.9,0.0,0.0,1.0,208.06,4.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,7.0,28.0,11.0,86.0,0.73,1.13,0.357,54.9,19.2,1.0,1.0,0.0
41.88,32.0,19.0,2.0,31.0,84.3,1.0,1.0,1.0,185.4,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,61.0,5.0,145.0,0.65,1.08,0.54,75.2,40.4,3.0,2.0,1.0
