case_id,state,district,project_type,project_category,priority,land_area_acres,number_of_landowners,number_of_land_parcels,affected_villages,affected_households,private_land_pct,government_land_pct,current_stage,days_in_current_stage,survey_completed,ownership_verification_pending,notification_pending,objection_count,compensation_pending,approval_pending,pending_documents,missing_documents,dispute_count,court_case,total_processing_days,previous_stage_delay_days,district_historical_delay_rate,historical_average_delay_days,similar_case_average_delay_days,seasonal_factor,staff_workload_ratio,budget_release_delay_days,compensation_amount_lakh,delayed,expected_additional_delay_days
LA202255,Andhra Pradesh,NTR,Railway,Major Infrastructure,Normal,17.04,27,16,12,6,65.5,34.5,Ownership Verification,16,1,1,0,2,0,1,0,0,1,0,72,11,0.361,61.7,45.8,1.15,0.58,2,48.7,0,57
LA200053,Telangana,Hyderabad,Public Infrastructure,Development Project,High,44.21,30,17,12,19,47.3,52.7,Notification,11,1,0,1,4,1,0,2,2,2,1,93,12,0.355,51.1,46,1.12,0.84,4,75.96,1,78
LA200645,Telangana,Warangal,Industrial,Development Project,Critical,42.65,30,20,8,19,77.2,22.8,Award,38,1,0,0,3,0,0,1,1,1,0,141,4,0.322,51,39.3,0.93,0.66,4,94.51,1,29
LA201764,Andhra Pradesh,NTR,Public Infrastructure,Development Project,Critical,27.66,27,16,5,18,79,21,Objection,21,1,0,0,3,0,1,4,2,1,0,96,9,0.464,71.3,37.6,1.13,0.61,4,84.48,1,67
LA202777,Telangana,Warangal,Public Infrastructure,Development Project,Normal,71.26,36,14,4,21,96.8,3.2,Objection,34,1,0,0,2,0,1,,1,1,0,160,15,0.327,42.4,50.3,1.17,0.75,5,413.47,1,67
LA200901,Odisha,Ganjam,Irrigation,Major Infrastructure,Critical,38.71,31,16,11,17,68.4,31.6,Objection,8,1,1,0,1,0,0,5,3,1,0,66,9,0.317,49.5,57.5,1.11,0.66,3,111.68,1,57
LA201074,Telangana,Warangal,Railway,Major Infrastructure,Critical,118.9,29,19,1,19,69.1,30.9,Compensation,36,1,1,0,5,1,0,0,0,2,0,165,21,0.308,70.8,29.3,1.07,0.43,7,125.06,0,63
LA200473,Maharashtra,Nagpur,Irrigation,Major Infrastructure,Critical,87.09,27,17,8,21,59.9,40.1,Notification,54,1,0,1,2,0,0,0,0,0,0,150,2,0.304,45.6,26.5,1,0.4,3,494.61,0,46
LA202739,Maharashtra,Nagpur,Irrigation,Major Infrastructure,High,49.75,36,22,2,20,74.9,25.1,Notification,31,1,0,0,4,0,0,2,0,5,0,130,4,0.404,69.9,66.3,1.13,0.54,1,86.13,0,53
LA202547,Karnataka,Bengaluru Rural,Public Infrastructure,Development Project,Normal,103.82,33,20,1,23,77.6,22.4,Possession,16,1,1,0,5,0,0,0,0,2,0,142,8,0.508,59,39.1,1,0.51,2,560.71,1,48
LA200045,Odisha,Ganjam,Highway,Major Infrastructure,Critical,164.75,33,12,9,30,74.4,25.6,Compensation,8,1,0,0,2,1,1,5,3,2,0,127,26,0.447,76.1,28.8,0.97,0.78,3,245.17,1,82
LA200290,Maharashtra,Aurangabad,Public Infrastructure,Development Project,Normal,131.5,18,9,8,5,58.7,41.3,Compensation,5,1,0,0,3,0,1,2,1,1,1,107,1,0.384,52.8,16.6,1.1,0.55,3,418.15,1,60
LA200913,Odisha,Ganjam,Irrigation,Major Infrastructure,Critical,197.65,27,12,8,15,55.9,44.1,Possession,25,1,0,0,1,0,0,2,1,2,0,144,35,0.568,75.3,44.4,0.9,0.72,2,219.02,1,63
LA202084,Maharashtra,Aurangabad,Highway,Major Infrastructure,Normal,26.69,19,9,10,10,41.9,58.1,Compensation,14,0,0,0,2,1,0,0,0,4,0,127,13,0.324,69.3,63.1,1.01,0.63,3,119.79,1,60
LA201361,Maharashtra,Nagpur,Industrial,Development Project,Normal,17.64,40,25,9,27,71.3,28.7,Approval,55,1,0,0,2,0,1,4,2,1,0,171,12,0.337,47.1,69.2,1.1,0.78,2,70.69,1,62
LA202896,Maharashtra,Aurangabad,Industrial,Development Project,Normal,151.9,35,13,5,26,36.9,63.1,Ownership Verification,6,1,0,0,1,0,1,0,0,2,0,104,28,0.466,70.9,53,1.09,0.54,2,531.36,1,56
LA202604,Odisha,Ganjam,Highway,Major Infrastructure,Normal,5.64,27,11,4,18,85.3,14.7,Survey,16,1,0,0,2,0,0,2,0,2,0,123,10,0.408,61.3,30.2,1.06,0.49,6,17.48,1,35
LA201227,Andhra Pradesh,Tirupati,Railway,Major Infrastructure,High,35.39,36,28,3,25,93.8,6.2,Possession,2,1,1,0,4,1,0,1,0,2,0,108,7,0.163,31.3,93.1,1.07,0.51,8,112.04,1,49
LA200297,Maharashtra,Aurangabad,Industrial,Development Project,Normal,43.47,27,18,9,13,99.4,0.6,Possession,60,1,0,0,3,0,0,2,1,0,0,138,10,0.309,51.3,27.6,1.04,0.39,4,34.65,1,46
LA201242,Andhra Pradesh,Visakhapatnam,Industrial,Development Project,High,134.22,26,12,7,19,98.9,1.1,Approval,17,1,1,0,3,0,0,0,0,2,0,125,9,0.514,74.6,68,1.02,0.26,3,565.63,1,52
LA201006,Karnataka,Dharwad,Highway,Major Infrastructure,Normal,74.62,30,14,2,26,31.4,68.6,Approval,61,1,0,0,2,0,0,1,1,1,0,172,14,0.65,84,32.9,1.12,0.61,4,370.24,1,59
LA201666,Maharashtra,Nashik,Highway,Major Infrastructure,Normal,148.63,28,12,11,20,97.6,2.4,Objection,22,0,1,1,2,0,0,2,0,1,0,115,15,0.451,71,20.6,1.04,0.77,2,279.41,1,52
LA200747,Andhra Pradesh,Krishna,Highway,Major Infrastructure,Normal,73.91,29,15,11,22,89.6,10.4,Notification,68,1,0,1,5,0,1,,1,3,0,164,13,0.321,55.2,37.9,0.96,0.72,5,143.83,1,90
LA202852,Telangana,Warangal,Irrigation,Major Infrastructure,High,135.93,24,11,3,21,62.2,37.8,Ownership Verification,2,1,0,0,3,0,0,2,1,2,0,119,24,0.201,36.4,16.4,0.98,0.59,1,497.98,1,46
LA200292,Maharashtra,Pune,Railway,Major Infrastructure,Normal,23.39,25,10,9,9,31.3,68.7,Possession,24,1,0,0,2,1,0,2,0,1,0,208,11,0.679,97.9,24.8,1.12,0.76,7,59.64,0,48
LA200782,Telangana,Medchal-Malkajgiri,Irrigation,Major Infrastructure,Normal,73.25,27,17,11,15,73.4,26.6,Ownership Verification,34,0,0,0,2,0,1,1,1,1,0,150,15,0.378,52.9,41.4,1.16,0.52,5,172.04,1,48
LA202145,Maharashtra,Nagpur,Public Infrastructure,Development Project,Normal,38.87,27,18,3,18,78.9,21.1,Compensation,66,0,0,1,1,0,1,3,3,1,0,192,14,0.558,73,21.5,0.9,0.69,6,81.89,1,93
LA200323,Odisha,Ganjam,Highway,Major Infrastructure,Normal,287.03,29,16,7,15,90.9,9.1,Approval,27,1,0,0,1,0,1,1,1,2,0,113,25,0.406,63.5,30.1,0.91,0.63,4,1522.72,1,54
LA200299,Maharashtra,Pune,Highway,Major Infrastructure,High,115.47,35,17,2,27,32.8,67.2,Ownership Verification,30,1,0,0,1,0,1,2,1,1,0,124,6,0.444,65.7,37.8,0.89,0.66,4,191.34,1,62
LA201299,Telangana,Hyderabad,Highway,Major Infrastructure,Normal,69.65,20,7,12,15,61.8,38.2,Ownership Verification,15,0,0,0,5,0,0,0,0,0,0,180,26,0.451,66,31.2,1.06,0.73,1,131.08,1,43
LA200195,Andhra Pradesh,Guntur,Highway,Major Infrastructure,Normal,123.59,38,23,8,29,76.7,23.3,Ownership Verification,40,0,1,0,1,1,1,3,1,1,0,137,2,0.603,82.3,43.1,1.12,0.85,3,521.48,1,89
LA200064,Telangana,Medchal-Malkajgiri,Irrigation,Major Infrastructure,High,171.92,32,17,11,16,81.1,18.9,Approval,8,0,0,1,1,0,0,1,0,2,0,158,3,0.34,52.9,23.5,1.16,0.93,7,501.16,1,51
LA200394,Maharashtra,Aurangabad,Highway,Major Infrastructure,High,102.75,37,18,6,24,80.2,19.8,Notification,12,0,0,0,3,1,0,2,0,1,0,122,21,0.622,92.5,100.8,1.05,0.72,7,80.49,0,58
LA200728,Andhra Pradesh,Tirupati,Railway,Major Infrastructure,Critical,146.29,29,17,5,19,81.5,18.5,Compensation,47,1,0,0,1,1,0,2,0,1,0,185,2,0.343,47.2,86.6,0.93,0.51,6,268.92,1,45
LA201584,Odisha,Cuttack,Irrigation,Major Infrastructure,Normal,96.6,30,23,3,25,87.7,12.3,Ownership Verification,13,1,1,0,3,1,1,1,1,2,0,137,8,0.265,51.2,35.6,1.09,0.68,5,122.1,1,76
LA201548,Telangana,Hyderabad,Highway,Major Infrastructure,Critical,41.49,29,11,9,30,34.3,65.7,Compensation,7,0,0,1,4,0,0,2,0,1,0,51,1,0.411,57.1,16.9,1.12,0.79,4,105.69,1,47
LA202426,Telangana,Rangareddy,Public Infrastructure,Development Project,Normal,265.58,30,22,3,19,52.6,47.4,Ownership Verification,30,1,1,0,2,1,1,1,1,3,0,129,8,0.491,53.8,45.3,0.89,0.49,4,395.55,0,83
LA200015,Telangana,Medchal-Malkajgiri,Industrial,Development Project,Normal,25.99,34,21,7,23,40.1,59.9,Ownership Verification,32,0,1,0,2,0,1,6,3,1,0,137,4,0.406,54.4,24.2,0.93,0.59,2,39.19,0,78
LA202568,Andhra Pradesh,Visakhapatnam,Railway,Major Infrastructure,Normal,30.59,38,18,12,25,38.5,61.5,Approval,36,1,0,1,5,0,1,2,1,2,0,148,1,0.627,86.1,56.6,0.94,0.66,3,83.51,1,60
LA201601,Telangana,Rangareddy,Irrigation,Major Infrastructure,Normal,179.48,28,17,6,18,55.9,44.1,Notification,36,1,1,1,0,0,0,3,1,1,0,131,19,0.792,106.5,35.3,1.15,0.62,10,632.82,1,96
LA201091,Maharashtra,Aurangabad,Highway,Major Infrastructure,Normal,43.04,34,24,7,20,81.4,18.6,Ownership Verification,34,1,1,0,5,0,0,2,2,0,0,161,25,0.283,40.8,44.4,0.95,0.83,5,224.32,1,57
LA202112,Karnataka,Tumakuru,Highway,Major Infrastructure,Normal,192.57,33,18,3,11,50.4,49.6,Approval,39,0,0,0,2,1,1,2,1,1,0,164,43,0.492,65.4,20.8,1.05,0.4,3,712.81,1,94
LA200204,Telangana,Medchal-Malkajgiri,Railway,Major Infrastructure,Normal,32.91,38,20,10,17,49.7,50.3,Award,19,1,0,0,4,1,0,3,1,1,0,120,18,0.699,88.8,31.3,1.05,0.92,4,81.74,1,59
LA202419,Telangana,Rangareddy,Railway,Major Infrastructure,Critical,19.36,32,17,5,24,94.2,5.8,Compensation,66,1,1,0,5,1,0,1,1,3,0,159,15,0.535,89.4,72.1,1.16,0.87,5,19.82,1,89
LA200153,Telangana,Rangareddy,Irrigation,Major Infrastructure,Normal,35.91,36,14,12,18,51.1,48.9,Notification,29,1,0,1,4,0,1,3,0,2,1,101,6,0.298,41.3,19,1.01,0.35,5,110.31,1,77
LA202902,Maharashtra,Nagpur,Public Infrastructure,Development Project,High,132.68,29,15,9,15,91.8,8.2,Survey,29,1,1,0,2,0,1,1,0,2,0,85,6,0.672,81.5,45.2,1.07,0.4,4,97.53,1,84
LA201360,Odisha,Sambalpur,Highway,Major Infrastructure,Critical,179.89,38,20,8,19,46.1,53.9,Possession,4,1,0,0,3,0,0,2,2,2,0,92,13,0.425,,22.6,1.07,0.66,4,625.16,1,50
LA200773,Telangana,Rangareddy,Highway,Major Infrastructure,Normal,60.12,32,15,12,22,54.8,45.2,Objection,18,0,0,0,2,0,0,1,0,2,0,107,5,0.589,78.1,71.9,1.16,0.79,3,55.18,1,38
LA202679,Karnataka,Dharwad,Public Infrastructure,Development Project,High,208.07,41,21,10,24,69.5,30.5,Compensation,27,1,1,0,1,1,0,1,0,2,0,94,2,0.242,38.6,38.4,1.08,0.56,5,845.5,1,51
LA201002,Karnataka,Bengaluru Rural,Public Infrastructure,Development Project,Normal,46.93,25,10,8,16,67.9,32.1,Approval,14,0,0,0,3,0,1,1,0,1,0,87,4,0.312,54.4,18.9,0.9,0.94,2,97.85,0,29
LA200719,Andhra Pradesh,NTR,Highway,Major Infrastructure,Normal,57.07,23,15,3,19,44.9,55.1,Ownership Verification,11,1,1,0,1,0,1,2,0,1,0,260,20,0.607,91.8,39,1.09,0.57,6,164.52,1,64
LA200613,Odisha,Puri,Industrial,Development Project,High,31.06,20,13,12,13,67.7,32.3,Compensation,17,1,0,0,3,0,0,2,2,1,0,200,22,0.526,60.8,35.6,1.07,0.55,3,18,1,54
LA200843,Odisha,Cuttack,Highway,Major Infrastructure,High,14.39,26,19,6,22,69.1,30.9,Possession,22,1,1,0,1,1,0,2,1,1,0,203,30,0.57,80.7,24.1,1.05,0.86,6,28.02,1,73
LA200267,Odisha,Cuttack,Railway,Major Infrastructure,High,38.86,31,24,11,17,55,45,Compensation,6,1,0,0,1,0,0,1,1,0,0,133,22,0.319,47.6,73.6,1.1,0.87,5,155.84,1,29
LA200052,Karnataka,Dharwad,Public Infrastructure,Development Project,Normal,84.91,31,12,11,24,40.9,59.1,Approval,93,1,0,0,5,1,1,3,1,1,0,184,12,0.397,48.8,40.9,1.11,0.82,1,326.36,1,81
LA201196,Maharashtra,Nashik,Public Infrastructure,Development Project,Critical,47.99,32,22,7,24,49.5,50.5,Award,21,1,0,0,3,1,0,1,0,2,0,91,17,0.549,66.1,33.2,1.11,0.67,4,101.54,1,73
LA201271,Odisha,Ganjam,Highway,Major Infrastructure,High,50.94,25,10,9,22,32.1,67.9,Compensation,35,1,1,0,4,0,0,4,1,2,0,168,6,0.484,67.9,24.8,0.98,0.65,3,65.02,1,67
LA201492,Maharashtra,Kolhapur,Highway,Major Infrastructure,Normal,29.69,33,14,3,19,79.2,20.8,Survey,41,0,0,0,0,1,0,2,1,3,0,184,12,0.676,79.6,32.2,1.17,0.6,7,120.25,1,71
LA201583,Andhra Pradesh,Krishna,Public Infrastructure,Development Project,Normal,33.69,24,12,4,14,90.1,9.9,Survey,29,1,0,0,2,1,0,3,2,5,1,90,4,0.335,62.2,41,0.95,0.54,6,106.15,1,81
LA200522,Telangana,Warangal,Railway,Major Infrastructure,Normal,23.65,20,8,2,21,60,40,Ownership Verification,31,1,1,0,3,1,0,3,2,3,0,138,19,0.529,64,33.5,1.17,0.09,4,61.7,1,88
LA201695,Andhra Pradesh,Visakhapatnam,Railway,Major Infrastructure,High,104.4,24,17,7,20,62.1,37.9,Compensation,22,0,0,0,2,0,0,1,0,3,0,79,15,0.314,46.5,34.7,0.88,0.38,4,340.75,1,51
LA202664,Maharashtra,Nashik,Public Infrastructure,Development Project,Normal,143,26,14,3,14,71.8,28.2,Approval,58,1,0,1,2,1,0,2,0,2,0,237,33,0.16,34,55.1,1.13,0.69,5,329.14,1,78
LA202749,Odisha,Ganjam,Irrigation,Major Infrastructure,Normal,90.45,33,17,11,20,43.4,56.6,Compensation,60,1,0,0,3,0,0,1,1,0,0,221,4,0.393,58.9,69.3,1.12,0.68,7,324.01,1,48
LA201922,Andhra Pradesh,Guntur,Railway,Major Infrastructure,Normal,114.66,44,34,9,30,39.5,60.5,Compensation,97,1,0,0,1,1,0,3,3,0,0,166,9,0.847,114.7,69.3,1.02,0.54,3,367.93,1,80
LA200103,Karnataka,Tumakuru,Irrigation,Major Infrastructure,High,73.34,31,12,9,24,65.1,34.9,Survey,7,1,0,0,3,1,1,0,0,1,0,143,10,0.509,72.9,26.7,1.01,0.54,1,326.05,1,47
LA200696,Odisha,Puri,Highway,Major Infrastructure,High,139.71,32,15,8,19,66.8,33.2,Approval,65,1,0,0,3,1,1,1,0,1,0,134,5,0.874,114.2,29.7,0.91,0.66,3,566.03,1,90
LA202333,Andhra Pradesh,Tirupati,Highway,Major Infrastructure,Normal,216.64,30,22,7,21,85.8,14.2,Objection,20,1,0,0,6,0,0,1,1,3,1,115,30,0.134,35.1,33.1,1.05,0.64,3,1081.81,1,78
LA202725,Andhra Pradesh,Krishna,Irrigation,Major Infrastructure,Normal,140.37,28,20,6,15,41.9,58.1,Ownership Verification,21,1,0,0,3,0,0,1,0,2,0,103,3,0.661,94.4,,1.16,0.72,1,395.53,1,41
LA202273,Karnataka,Dharwad,Public Infrastructure,Development Project,Normal,41.94,29,12,7,17,86.2,13.8,Ownership Verification,27,1,1,0,1,1,0,6,3,1,0,176,25,0.402,63.6,30,0.98,0.72,5,108.96,1,86
LA202483,Karnataka,Tumakuru,Railway,Major Infrastructure,High,54.69,37,21,8,24,85.3,14.7,Ownership Verification,4,1,0,0,2,0,0,2,2,1,0,77,14,0.424,52.5,32.1,0.91,0.46,0,97.43,1,46
LA201843,Odisha,Cuttack,Highway,Major Infrastructure,Normal,77.97,33,19,8,25,89.5,10.5,Ownership Verification,19,1,0,0,3,0,1,,1,3,0,95,2,0.738,92.4,65.5,1.11,0.73,1,314.47,1,57
LA201831,Maharashtra,Pune,Railway,Major Infrastructure,Normal,41.21,35,25,11,29,94.7,5.3,Objection,63,1,0,0,3,1,1,2,1,1,0,187,6,0.697,96.3,121.8,1.08,0.79,4,154.78,1,72
LA200795,Telangana,Nalgonda,Irrigation,Major Infrastructure,Normal,88.73,37,29,5,29,60.5,39.5,Award,42,1,0,1,3,1,0,1,1,3,0,225,28,0.459,67.7,57.3,0.96,0.64,7,433.61,1,88
LA201821,Maharashtra,Pune,Public Infrastructure,Development Project,Critical,32.5,32,14,2,22,49.9,50.1,Approval,33,1,0,0,4,1,1,4,0,2,0,149,19,0.557,80.1,28,0.9,0.63,4,123.84,1,94
LA202002,Odisha,Ganjam,Railway,Major Infrastructure,Normal,33.14,31,14,5,21,80,20,Notification,41,1,0,0,2,1,0,1,0,6,0,172,13,0.468,65.9,47.2,1.07,0.74,9,89.92,1,72
LA200145,Telangana,Hyderabad,Highway,Major Infrastructure,Normal,28.06,35,13,7,22,90.8,9.2,Compensation,10,1,0,0,0,0,0,2,0,2,0,119,0,0.293,62.2,47.2,0.98,0.68,6,88.81,0,38
LA202526,Telangana,Rangareddy,Industrial,Development Project,High,64.43,29,12,2,24,53.3,46.7,Survey,46,1,0,0,5,0,1,1,0,4,0,127,14,0.48,64.5,,0.93,0.63,10,124.62,1,83
LA201331,Andhra Pradesh,Visakhapatnam,Highway,Major Infrastructure,Normal,121.04,28,17,1,18,40.4,59.6,Approval,18,1,0,0,2,0,0,0,0,3,0,101,5,0.422,55.2,37.5,1.02,0.88,1,231.55,1,44
LA202478,Karnataka,Tumakuru,Highway,Major Infrastructure,Normal,,36,23,1,21,82.6,17.4,Objection,70,1,0,0,2,1,1,0,0,0,0,170,11,0.433,55.9,55.4,0.93,0.6,1,73.47,1,74
LA202882,Maharashtra,Nagpur,Industrial,Development Project,Normal,83.16,33,13,8,21,51.3,48.7,Notification,26,0,0,0,0,0,0,1,1,2,0,149,29,0.292,47.2,64.3,0.9,0.39,9,311.43,1,72
LA200322,Maharashtra,Aurangabad,Railway,Major Infrastructure,High,60.11,37,25,5,20,73.6,26.4,Approval,25,0,0,0,3,1,1,3,1,2,0,94,6,0.887,101.6,57.2,0.95,0.6,2,309.49,1,76
LA201262,Odisha,Khordha,Public Infrastructure,Development Project,High,79.04,32,22,10,16,35.4,64.6,Notification,22,1,1,1,2,0,1,4,1,1,0,233,13,0.469,75.1,51.5,1.12,0.61,3,123.68,1,76
LA202415,Telangana,Nalgonda,Irrigation,Major Infrastructure,High,59.57,29,14,10,28,68.2,31.8,Notification,29,1,0,0,2,1,0,3,0,2,0,142,17,0.375,49.8,32.1,1.01,0.78,2,75.13,1,77
LA201270,Telangana,Rangareddy,Highway,Major Infrastructure,High,30.76,29,14,9,20,33.3,66.7,Objection,15,1,0,0,2,1,0,2,1,1,0,123,14,0.394,60.2,45.8,1.12,0.72,3,136.96,0,47
LA201761,Andhra Pradesh,Guntur,Highway,Major Infrastructure,High,113.71,26,12,10,11,64.4,35.6,Compensation,,1,0,0,1,1,0,0,0,3,1,96,2,0.523,70.4,24.9,1.09,0.36,3,129.77,1,62
LA200417,Maharashtra,Kolhapur,Highway,Major Infrastructure,Normal,51.84,28,17,8,25,66.2,33.8,Possession,45,1,0,0,2,1,0,1,0,1,0,141,7,0.722,103.3,59.5,1.15,0.51,1,136.92,0,67
LA202632,Telangana,Warangal,Public Infrastructure,Development Project,Critical,80.71,30,11,2,29,70.7,29.3,Ownership Verification,51,1,0,1,3,1,0,3,1,4,0,135,15,0.305,57,53.1,0.97,0.67,7,262.24,1,100
LA202292,Odisha,Cuttack,Irrigation,Major Infrastructure,High,87.01,30,17,9,16,45.7,54.3,Survey,54,1,0,0,3,1,0,2,1,2,0,126,12,0.244,48.4,39.9,1.17,0.66,4,279.15,0,70
LA200175,Maharashtra,Aurangabad,Highway,Major Infrastructure,Normal,16.06,21,16,10,13,77.7,22.3,Ownership Verification,45,1,1,0,2,1,0,2,0,1,0,127,42,0.509,76.4,43.7,1.07,0.7,3,40.16,1,101
LA201726,Odisha,Puri,Highway,Major Infrastructure,Normal,31.72,34,21,2,13,54.6,45.4,Notification,47,1,0,0,1,0,0,1,1,2,0,132,12,0.39,60,41.7,1.17,0.19,5,127.05,1,61
LA202176,Andhra Pradesh,NTR,Highway,Major Infrastructure,Normal,55.8,32,14,2,16,81.4,18.6,Approval,13,0,0,0,1,1,1,1,0,0,0,120,19,0.467,,32.5,1.02,0.67,2,235.43,0,62
LA200046,Telangana,Warangal,Industrial,Development Project,High,209.6,34,25,3,31,46.2,53.8,Notification,16,1,1,0,2,1,0,1,0,0,0,99,4,0.553,89.4,32.3,1.12,0.54,3,266.92,1,52
LA200686,Maharashtra,Kolhapur,Public Infrastructure,Development Project,Normal,82.31,34,18,9,23,93.6,6.4,Notification,14,1,0,0,0,0,0,1,1,2,0,117,3,0.248,,70.7,0.9,0.55,1,194.53,1,14
LA201608,Andhra Pradesh,NTR,Public Infrastructure,Development Project,Normal,22.72,37,22,10,29,86,14,Objection,56,1,0,1,1,0,0,2,0,2,0,132,17,0.13,44.3,29.9,0.97,0.59,5,88.16,1,64
LA201232,Telangana,Rangareddy,Irrigation,Major Infrastructure,Normal,148.3,30,13,5,22,81.8,18.2,Ownership Verification,35,1,1,0,1,0,1,0,0,2,0,162,17,0.749,93,56.4,0.9,0.27,7,638.52,1,76
LA200863,Karnataka,Dharwad,Irrigation,Major Infrastructure,Normal,32.06,31,21,1,23,36,64,Objection,5,1,0,0,2,0,0,1,1,1,0,87,8,0.43,53.9,37.8,1.15,0.49,4,123.79,1,31
LA201966,Andhra Pradesh,Krishna,Railway,Major Infrastructure,Critical,36.6,37,28,11,18,88.8,11.2,Objection,16,1,1,0,1,0,0,0,0,1,0,146,38,0.458,50.3,23.1,1.02,0.33,5,117.32,1,76
LA200332,Andhra Pradesh,Visakhapatnam,Railway,Major Infrastructure,High,9.91,39,28,7,21,85.4,14.6,Ownership Verification,13,1,1,0,0,0,1,0,0,1,0,70,8,0.623,93.5,38.7,1.01,0.87,2,36.15,1,62
LA200094,Andhra Pradesh,Visakhapatnam,Public Infrastructure,Development Project,High,33.93,26,19,9,13,78.4,21.6,Compensation,9,1,0,1,1,0,1,2,2,0,0,77,17,0.527,70.5,31,0.96,0.48,3,112.17,1,58
LA201642,Karnataka,Dharwad,Highway,Major Infrastructure,Normal,121.2,31,12,3,26,65.6,34.4,Notification,54,1,0,1,0,1,0,1,0,1,0,155,6,0.351,61.8,28.3,1.14,0.66,3,181.61,1,52
LA202987,Odisha,Ganjam,Industrial,Development Project,Normal,25.78,21,10,12,13,91,9,Compensation,23,1,0,0,0,0,0,1,1,1,0,140,24,0.742,108.2,90.6,1.06,0.63,2,42.31,1,57
LA200507,Karnataka,Dharwad,Railway,Major Infrastructure,Normal,176.12,21,9,12,16,51.2,48.8,Ownership Verification,29,1,0,0,4,0,0,4,3,2,0,96,6,0.37,47.3,65.9,0.99,0.55,4,420.77,1,47
LA202910,Karnataka,Dharwad,Highway,Major Infrastructure,High,135.86,26,16,8,25,44.9,55.1,Approval,44,1,0,0,2,1,0,3,1,0,0,105,3,0.716,84.1,53,1.1,0.27,3,753.13,1,75
LA202046,Telangana,Warangal,Railway,Major Infrastructure,Critical,158.01,26,17,7,21,33.7,66.3,Notification,44,1,0,1,2,0,1,1,0,2,0,102,5,0.427,60.1,67.1,1.09,0.78,6,810.6,1,58
LA200496,Maharashtra,Nagpur,Highway,Major Infrastructure,Normal,121.97,24,11,9,22,71.9,28.1,Notification,38,0,1,1,1,1,1,0,0,2,0,161,14,0.655,83.3,44.7,0.92,0.76,3,502.08,1,96
LA202133,Odisha,Ganjam,Public Infrastructure,Development Project,Normal,186.04,26,19,8,21,55.3,44.7,Survey,16,1,1,0,1,0,0,3,1,4,1,73,2,0.314,47.9,40.5,1.03,0.72,1,179.41,1,65
LA200001,Andhra Pradesh,Visakhapatnam,Industrial,Development Project,High,27.15,38,23,10,25,94.6,5.4,Compensation,2,0,0,0,1,1,0,1,0,1,0,100,15,0.164,35.1,21.6,0.93,0.21,5,41.65,0,45
